title,ingredients,instructions,url
Cucumber & fennel salad Recipe,Fennel Bulb; Lemon; White Wine Vinegar; Dill; Sugar; Cucumber; Sour Cream,"step 1
Put cucumber in a sieve.
 Sprinkle with 1 tsp salt and the sugar, then leave for 10 mins.
 Add fennel.


step 2
Mix soured cream, lemon juice, vinegar and dill, then season with black pepper and add to fennel mix.
",https://www.bbcgoodfood.com/recipes/cucumber-fennel-salad
New York cheesecake Recipe,Caster Sugar; Plain Flour; Sour Cream; Sugar; Eggs; Lemon Juice; Sour Cream; Cream Cheese; Sour Cream; Caster Sugar; Lemon Juice; Butter,"Position an oven shelf in the middle of the oven. Preheat the oven to fan 160C/conventional 180C/gas 4. Line the base of a 23cm springform cake tin with parchment paper. For the crust, melt the butter in a medium pan. Stir in the biscuit crumbs and sugar so the mixture is evenly moistened. Press the mixture into the bottom of the pan and bake for 10 minutes. Cool on a wire rack while preparing the filling.
For the filling, increase the oven temperature to fan 200C/conventional 240C/gas 9. In a table top mixer fitted with the paddle attachment, beat the soft cheese at medium-low speed until creamy, about 2 minutes. With the mixer on low, gradually add the sugar, then the flour and a pinch of salt, scraping down the sides of the bowl and the paddle twice.
Swap the paddle attachment for the whisk. Continue by adding the vanilla, lemon zest and juice. Whisk in the eggs and yolk, one at a time, scraping the bowl and whisk at least twice. Stir the 284ml carton of soured cream until smooth, then measure 200ml/7fl oz (just over 3⁄4 of the carton). Continue on low speed as you add the measured soured cream (reserve the rest). Whisk to blend, but don't over-beat. The batter should be smooth, light and somewhat airy.
Brush the sides of the springform tin with melted butter and put on a baking sheet. Pour in the filling - if there are any lumps, sink them using a knife - the top should be as smooth as possible. Bake for 10 minutes. Reduce oven temperature to fan 90C/conventional 110C/gas 1⁄4 and bake for 25 minutes more. If you gently shake the tin, the filling should have a slight wobble. Turn off the oven and open the oven door for a cheesecake that's creamy in the centre, or leave it closed if you prefer a drier texture. Let cool in the oven for 2 hours. The cheesecake may get a slight crack on top as it cools.
Combine the reserved soured cream with the 142ml carton, the sugar and lemon juice for the topping. Spread over the cheesecake right to the edges. Cover loosely with foil and refrigerate for at least 8 hours or overnight.
Run a round-bladed knife around the sides of the tin to loosen any stuck edges. Unlock the side, slide the cheesecake off the bottom of the tin onto a plate, then slide the parchment paper out from underneath.",https://www.bbcgoodfood.com/recipes/2869/new-york-cheesecake
Lamb Tzatziki Burgers Style,Cumin; Bulgur Wheat; Coriander; Paprika; Cucumber; Olive Oil; Bun; Lamb Mince; Greek Yogurt; Garlic; Mint,"Tip the bulghar into a pan, cover with water and boil for 10 mins. Drain really well in a sieve, pressing out any excess water.

To make the tzatziki, squeeze and discard the juice from the cucumber, then mix into the yogurt with the chopped mint and a little salt.

Work the bulghar into the lamb with the spices, garlic (if using) and seasoning, then shape into 4 burgers. Brush with a little oil and fry or barbecue for about 5 mins each side until cooked all the way through. Serve in the buns (toasted if you like) with the tzatziki, tomatoes, onion and a few mint leaves.",https://www.bbcgoodfood.com/recipes/lamb-burgers-tzatziki
Sledz w Oleju (Polish Herrings) Recipe,Pepper; Allspice; Bay Leaf; Olive Oil; Onion; Herring,"Soak herring in cold water for at least 1 hour.
 If very salty, repeat, changing the water each time.


Drain thoroughly and slice herring into bite-size pieces.


Place in a jar large enough to accommodate the pieces and cover with oil, allspice, peppercorns, and bay leaf.
 Close the jar.


Refrigerate for 2 to 3 days before eating.
 This will keep refrigerated up to 2 weeks.


Serve with finely chopped onion or onion slices, lemon, and parsley or dill.
",https://www.thespruceeats.com/polish-herrings-in-oil-recipe-1135618
Easy Smoked Haddock Kedgeree,Cardamom; Turmeric; Chicken Stock; Cinnamon Stick; Eggs; Lemon; Parsley; Basmati Rice; Bay Leaf; Butter; Smoked Haddock; Onion,"Melt 50g butter in a large saucepan (about 20cm across), add 1 finely chopped medium onion and cook gently over a medium heat for 5 minutes, until softened but not browned.

Stir in 3 split cardamom pods, ¼ tsp turmeric, 1 small cinnamon stick and 2 bay leaves, then cook for 1 minute.

Tip in 450g basmati rice and stir until it is all well coated in the spicy butter.

Pour in 1 litre chicken or fish stock, add ½ teaspoon salt and bring to the boil, stir once to release any rice from the bottom of the pan. Cover with a close-fitting lid, reduce the heat to low and leave to cook very gently for 12 minutes.

Meanwhile, bring some water to the boil in a large shallow pan. Add 750g un-dyed smoked haddock fillet and simmer for 4 minutes, until the fish is just cooked. Lift it out onto a plate and leave until cool enough to handle.

Hard-boil 3 eggs for 8 minutes.

Flake the fish, discarding any skin and bones. Drain the eggs, cool slightly, then peel and chop.

Uncover the rice and remove the bay leaves, cinnamon stick and cardamom pods if you wish to. Gently fork in the fish and the chopped eggs, cover again and return to the heat for 2-3 minutes, or until the fish has heated through.

Gently stir in almost all the 3 tbsp chopped fresh parsley, and season with a little salt and black pepper to taste. Serve scattered with the remaining parsley and garnished with 1 lemon, cut into wedges.",https://www.bbcgoodfood.com/recipes/2256/smoked-haddock-kedgeree
Quick salt & pepper squid,Coriander; Sesame Seed Oil; Oil; Squid; sweet chilli sauce; Chinese five spice powder,"step 1
Ask the fishmonger to clean the squid; little ones often come ready-cleaned. Using kitchen scissors, cut open the body and open out. Wash well, then pat dry. If you have a large squid, cut the body into four portions, roughly square. Small squid can just be opened up.

step 2
Using the tip of a very sharp knife, score the top in a neat criss-cross. Brush with oil and set aside while you heat the barbecue or griddle until ready to cook.

step 3
Mix together 2 tsp sea salt, Chinese five-spice and 1 tsp freshly ground black pepper. Sprinkle on both sides of the squid just before cooking, according to taste. You may not need it all. Heat the griddle pan to hot and cook about 1 min each side, until it starts to curl. Remove with tongs to a serving plate and drizzle with a little sesame oil. To serve, garnish with coriander leaves and serve with small bowls of sweet chilli sauce to dip into.",https://www.bbcgoodfood.com/recipes/salt-pepper-squid-0
Eton Mess,Mint; ginger cordial; meringue nests; strawberries; double cream,"Purée half the strawberries in a blender.
 Chop the remaining strawberries, reserving four for decoration.

Whip the double cream until stiff peaks form, then fold in the strawberry purée and crushed meringue.
 Fold in the chopped strawberries and ginger cordial, if using.

Spoon equal amounts of the mixture into four cold wine glasses.
 Serve garnished with the remaining strawberries and a sprig of mint.
",
Jamaican Instant Pot Rice and Beans Recipe,Olive Oil; Water; Onion; Black Pepper; Garlic; Kidney Beans; Allspice; Salt; Coconut Milk; Rice; Thyme; Spring Onions,"Instructions
 
Set Instant Pot to ""Sauté.
"" Once Hot, add olive oil.
 Then add yellow onion and stir until softened, about 3 minutes.
 Add garlic and green onions and stir for about 30 more seconds.

Press “Cancel” on the Instant Pot.
 Add rice, coconut milk, water, salt, allspice, and black pepper and stir.

Pour undrained kidney beans on top of the rice mixture.
 Do not stir.
 Lay sprigs of thyme on top.
 Cover the Instant Pot, ensuring the valve is set to “Sealing.
”
Press “Manual” or “Pressure Cook” on the Instant Pot and set for High pressure for 6 minutes.

Once the pressure cooking time is done, allow it to natural release for 10 minutes, then quick release any remaining pressure by moving valve to ""Venting""
Open lid and remove thyme sprigs.
 Fluff rice with fork and Enjoy!

Stove Top Instructions
Heat olive oil in a large pot over medium heat.
 Add yellow onion and stir until softened, about 3 minutes.
 Add garlic and green onions and stir for about 30 more seconds.

Add rice, undrained kidney beans, coconut milk, water, salt, allspice, and black pepper and stir until combined.
 Lay thyme on top.
 Bring mixture to a simmer.

Cover with a lid and reduce heat to low.
 Allow to cook for 18 minutes over low heat, then remove from heat.
 Leave the lid on for an additional 5 minutes.

Open the lid and remove the thyme.
 Fluff rice with fork.
 Enjoy.
",https://www.myforkinglife.com/jamaican-instant-pot-rice-and-beans/#recipe
Falafel,Onion; Parsley; Ground Cumin; Garlic; Egg; Chickpeas; Ground Coriander; Sunflower Oil,"step 1
Heat 1 tbsp oil in a large pan, then fry the onion and garlic over a low heat for 5 mins until softened.
 Tip into a large mixing bowl with the chickpeas and spices, then mash together with a fork or potato masher until the chickpeas are totally broken down.
 Stir in the parsley or dried herbs, with seasoning to taste.
 Add the egg, then squish the mixture together with your hands.


step 2
Mould the mix into 6 balls, then flatten into patties.
 Heat the remaining oil in the pan, then fry the falafels on a medium heat for 3 mins on each side, until golden brown and firm.
 Serve hot or cold with couscous, pitta bread or salad.
",https://www.bbcgoodfood.com/recipes/spicy-falafels
Tortang Talong Style,Egg Plants; Salt; Eggs; Olive Oil,"0.
	Grill the eggplant until the color of skin turns almost black
1.
	Let the eggplant cool for a while then peel off the skin.
 Set aside.

2.
	Crack the eggs and place in a bowl
3.
	Add salt and beat
4.
	Place the eggplant on a flat surface and flatten using a fork.

5.
	Dip the flattened eggplant in the beaten egg mixture
6.
	Heat the pan and pour the cooking oil
7.
	Fry the eggplant (that was dipped in the beaten mixture).
 Make sure that both sides are cooked.
 Frying time will take you about 3 to 4 minutes per side on medium heat.
 
",https://www.sainsburysmagazine.co.uk/recipes/mains/tortang-talong
Fresh sardines Style,Vegetable Oil; Salt; Sardines; Flour,Wash the fish under the cold tap. Roll in the flour and deep fry in oil until crispy. Lay on kitchen towel to get rid of the excess oil and serve hot or cold with a slice of lemon.,https://www.visit-croatia.co.uk/croatian-cuisine/croatian-recipes/
Lemongrass beef stew with noodles Homemade,Ginger; Beef; Beef Stock; Coriander Leaves; Garlic Clove; Brown Sugar; Rice Noodles; Lemongrass Stalks; Vegetable Oil; Red Chilli; Five Spice Powder; Lime; Soy Sauce,"step 1
Put the ginger, garlic, lemongrass, coriander and 1 chilli in a food processor, then pulse until puréed. Heat the oil in a pan over a low heat. Add the purée and cook for 5 mins. Stir in the beef, soy, five-spice, sugar and stock. Put on a lid and bring to the boil, then lower heat and simmer for 1 hr 15 mins. Remove the lid and cook for a further 15 mins until the beef is tender.

step 2
Just before serving, prepare noodles following pack instructions. Drain well, then divide between 2 bowls and spoon over the beef stew. Serve sprinkled with the remaining chilli and coriander leaves, with lime wedges for squeezing over.",https://www.bbcgoodfood.com/recipes/lemongrass-beef-stew-noodles
Easy Sticky Toffee Pudding Ultimate,butter; black treacle; Medjool dates; vanilla extract; butter; muscovado sugar; black treacle; water; milk; ice cream; demerara sugar; self-raising flour; double cream; eggs; bicarbonate of soda,"Stone and chop the dates quite small, put them in a bowl, then pour the boiling water over. Leave for about 30 mins until cool and well-soaked, then mash a bit with a fork. Stir in the vanilla extract. Butter and flour seven mini pudding tins (each about 200ml/7fl oz) and sit them on a baking sheet. Heat oven to 180C/fan 160C/gas 4.
While the dates are soaking, make the puddings. Mix the flour and bicarbonate of soda together and beat the eggs in a separate bowl. Beat the butter and sugar together in a large bowl for a few mins until slightly creamy (the mixture will be grainy from the sugar). Add the eggs a little at a time, beating well between additions. Beat in the black treacle then, using a large metal spoon, gently fold in one-third of the flour, then half the milk, being careful not to overbeat. Repeat until all the flour and milk is used. Stir the soaked dates into the pudding batter. The mix may look a little curdled at this point and will be like a soft, thick batter. Spoon it evenly between the tins and bake for 20-25 mins, until risen and firm.
Meanwhile, put the sugar and butter for the sauce in a medium saucepan with half the cream. Bring to the boil over a medium heat, stirring all the time, until the sugar has completely dissolved. Stir in the black treacle, turn up the heat slightly and let the mixture bubble away for 2-3 mins until it is a rich toffee colour, stirring occasionally to make sure it doesn’t burn. Take the pan off the heat and beat in the rest of the cream.
Remove the puddings from the oven. Leave in the tins for a few mins, then loosen them well from the sides of the tins with a small palette knife before turning them out. You can serve them now with the sauce drizzled over, but they’ll be even stickier if left for a day or two coated in the sauce. To do this, pour about half the sauce into one or two ovenproof serving dishes. Sit the upturned puddings on the sauce, then pour the rest of the sauce over them. Cover with a loose tent of foil so that the sauce doesn’t smudge (no need to chill).
When ready to serve, heat oven to 180C/fan 160C/gas 4. Warm the puddings through, still covered, for 15-20 mins or until the sauce is bubbling. Serve them on their own, or with cream or custard.",https://www.youtube.com/watch?v=Wytv3bjqJII
Easy Syrian Bread,Sugar; Water; Yeast; Vegetable Oil; Salt; Flour,"Place ingredients in the pan of the bread machine in the order recommended by the manufacturer.
 Select Dough cycle; press Start.


When the Dough cycle is almost complete, preheat the oven to 475 degrees F (245 degrees C).


Turn dough out onto a lightly floured surface.
 Divide into eight equal pieces and form into rounds.
 Cover the rounds with a damp cloth and let rest.


Roll dough into thin flat circles, about 8 inches in diameter.
 Cook two at a time on preheated baking sheets or a baking stone until puffed up and golden brown, about 5 minutes.
 Repeat for remaining loaves.
",https://www.allrecipes.com/recipe/20834/syrian-bread/
Kedgeree Recipe,Smoked Haddock; Onion; Coriander; Curry Powder; Rice; Parsley; Milk; Eggs; Coriander; Vegetable Oil; Bay Leaves,"For the rice, heat the oil in a large, lidded pan, add the onion, then gently fry for 5 mins until softened but not coloured.
 Add the spices, season with salt, then continue to fry until the mix start to go brown and fragrant; about 3 mins.

Add the rice and stir in well.
 Add 600ml water, stir, then bring to the boil.
 Reduce to a simmer, then cover for 10 mins.
 Take off the heat and leave to stand, covered, for 10-15 mins more.
 The rice will be perfectly cooked if you do not lift the lid before the end of the cooking.

Meanwhile, put the haddock and bay leaves in a frying pan, cover with the milk, then poach for 10 mins until the flesh flakes.
 Remove from the milk, peel away the skin, then flake the flesh into thumbsize pieces.
 Place the eggs in a pan, cover with water, bring to the boil, then reduce to a simmer.
 Leave for 4½-5 mins, plunge into cold water, then peel and cut the eggs into quarters.
 Gently mix the fish, eggs, parsley, coriander and rice together in the pan.
 Serve hot, sprinkled with a few extra herbs.
",https://www.bbcgoodfood.com/recipes/10421/kedgeree
Easy Sweet and Sour Pork,Tomato Puree; Soy Sauce; Starch; Sugar; Salt; Pork; Vinegar; Coriander; Egg; Water,"Preparation
1.
 Crack the egg into a bowl.
 Separate the egg white and yolk.


Sweet and Sour Pork
2.
 Slice the pork tenderloin into strips.


3.
 Prepare the marinade using a pinch of salt, one teaspoon of starch, two teaspoons of light soy sauce, and an egg white.


4.
 Marinade the pork strips for about 20 minutes.


5.
 Put the remaining starch in a bowl.
 Add some water and vinegar to make a starchy sauce.


Sweet and Sour Pork
Cooking Instructions
1.
 Pour the cooking oil into a wok and heat to 190°C (375°F).
 Add the marinated pork strips and fry them until they turn brown.
 Remove the cooked pork from the wok and place on a plate.


2.
 Leave some oil in the wok.
 Put the tomato sauce and white sugar into the wok, and heat until the oil and sauce are fully combined.


3.
 Add some water to the wok and thoroughly heat the sweet and sour sauce before adding the pork strips to it.


4.
 Pour in the starchy sauce.
 Stir-fry all the ingredients until the pork and sauce are thoroughly mixed together.


5.
 Serve on a plate and add some coriander for decoration.
",https://www.chinahighlights.com/travelguide/chinese-food/cooking/sweet-sour-pork.htm
Easy Ensaimada,Yeast; Strong white bread flour; Vegetable Oil; Caster Sugar; Lard; Egg,"step 1
Pour 230ml lukewarm water into a bowl and add the yeast.
 Leave to stand for 3 mins, then add the caster sugar, eggs, flour and 1 tsp sea salt flakes.
 Mix together to form a dough, then knead for 10 mins in stand mixer using a dough hook (or 15 mins by hand) until the dough is elastic enough to be almost see-through when stretched.
 Cover and set aside to rest for 30 mins, then cut into four equal pieces.
 Transfer to a baking tray lined with baking parchment.
 Leave to rest for another 30 mins.


step 2
Oil the work surface and a rolling pin with vegetable oil.
 Working with one portion of dough at a time, flatten it against the surface using the palm of your hand, then roll it out into a thin rectangle, about 30 x 50cm.
 Let it rest for 2 mins while you spread a quarter of the lard over the top.
 (If you want to fill your pastry with sobrasada de Mallorca, mix 50g lard with the sobrasada, and spread this over the dough instead.
) Pull one corner of the flattened dough and stretch it out as far as it will go without breaking.
 Repeat every 10cm or so around the dough rectangle in every direction until it reaches about 50 x 70cm.


step 3
Cut a strip from each of the shorter sides and lay these beside each other along one of the longer sides of the rectangle; this is what we call the heart of the ensaimada.
 From there, begin rolling the dough until you have a long pastry snake.
 Repeat with the remaining portions of dough.


step 4
Take the first roll of dough and stretch it until it is over a metre long.
 Then, roll it up into a spiral, leaving 1cm between each turn of the spiral so the dough can expand.
 Flatten a little and transfer to a baking sheet lined with baking parchment.
 Repeat with the remaining dough.
 Leave to rise in a warm place for at least 12 hrs, or ideally 24 hrs.


step 5
Heat the oven to 200C/180C fan/gas 6.
 Put the ensaimadas in the top third of the oven and immediately reduce the temperature to 180C/160C fan/gas 4.
 Bake for 18 mins until dark golden.
 Leave to cool on a wire rack.
 To fill your ensaimada with whipped cream, slice and open, then spread over the cream and close.
 Dust with a generous amount of icing sugar, if you like and cut into pieces to serve.


",https://www.bbcgoodfood.com/recipes/ensaimada
Spanish Tortilla Recipe,Butter; Parsley; Eggs; Olive Oil; Potatoes; Olive Oil; Baguette; Garlic; Onion; Vine Tomatoes,"Put a large non-stick frying pan on a low heat. Cook the onion slowly in the oil and butter until soft but not brown – this should take about 15 mins. Add the potatoes, cover the pan and cook for a further 15-20 mins, stirring occasionally to make sure they fry evenly.
When the potatoes are soft and the onion is shiny, crush 2 garlic cloves and stir in, followed by the beaten eggs.
Put the lid back on the pan and leave the tortilla to cook gently. After 20 mins, the edges and base should be golden, the top set but the middle still a little wobbly. To turn it over, slide it onto a plate and put another plate on top, turn the whole thing over and slide it back into the pan to finish cooking. Once cooked, transfer to a plate and serve the tortilla warm or cold, scattered with the chopped parsley.
To accompany, take slices of warmed baguette, stab all over with a fork and rub with the remaining garlic, pile on grated tomatoes and season with sea salt and a drizzle of olive oil.",https://www.bbcgoodfood.com/recipes/spanish-tortilla
Kapsalon Recipe,Tomato; Doner Meat; Gouda cheese; Garlic sauce; Lettuce; Hotsauce; Cucumber; Fries,"Cut the meat into strips.
 Heat oil in a pan and fry the strips for 6 minutes until it's ready.

Bake the fries until golden brown in a deep fryrer.
 When ready transfer to a backing dish.
 Make sure the fries are spread over the whole dish.

Cover the fries with a new layer of meat and spread evenly.

Add a layer of cheese over the meat.
 You can also use grated cheese.
 When done put in the oven for a few minutes until the cheese is melted.

Chop the lettuce, tomato and cucumber in small pieces and mix together.
 for a basic salad.
 As extra you can add olives jalapenos and a red union.

Dived the salad over the dish and Serve with garlicsauce and hot sauce",
Eggplant Adobo Homemade,Rice Vinegar; Bay Leaf; Egg Plants; Olive Oil; Soy Sauce; Salt; Ground Pork; Sugar; Pepper; Garlic,"1.	Slice 1 lb. small Japanese or Italian eggplant (about 3) into quarters lengthwise, then cut crosswise into 2""-wide pieces. Place in a medium bowl. Add 1 Tbsp. sugar, 1 tsp. Diamond Crystal or ½ tsp. Morton kosher salt, and ½ tsp. freshly ground black pepper. Toss to evenly coat eggplant and let sit at room temperature at least 20 minutes and up to 2 hours.
2.	Peel and thinly slice 8 garlic cloves. Add 3 Tbsp. vegetable oil and half of garlic to a medium Dutch oven or other heavy pot. Cook over medium-high heat, stirring constantly with a wooden spoon, until light golden and crisp, about 5 minutes. Using a slotted spoon, transfer garlic chips to a plate; season lightly with salt.
3. Place 4 oz. ground pork in same pot and break up into small pieces with wooden spoon. Season with ¼ tsp. Diamond Crystal or Morton kosher salt and cook, undisturbed, until deeply browned underneath, about 5 minutes. Using a slotted spoon, transfer to another plate, leaving fat behind in the pot.
4. Place eggplant on a clean kitchen towel and blot away any moisture the salt has drawn out.
5. Working in batches and adding more oil if needed, cook eggplant in the same pot until lightly browned, about 3 minutes per side. Transfer to a plate with pork.
6. Pour 1½ cups of water into the pot and scrape up browned bits from the bottom with a wooden spoon. Add remaining garlic, 3 Tbsp. coconut vinegar or unseasoned rice vinegar, 2 Tbsp. soy sauce, 2 bay leaves, 1 tsp. freshly ground black pepper, and remaining 1 Tbsp. sugar. Bring to a simmer, then return pork and eggplant to pot. Reduce heat to medium-low, partially cover, and simmer until eggplant is tender and silky and sauce is reduced by half, 20–25 minutes. Taste and season with more salt and pepper and add a little more sugar if needed.
7. Top with garlic chips and serve with cooked white rice.
",https://salu-salo.com/eggplant-adobo/
Pear Tarte Tatin Homemade,Cinnamon; Star Anise; Butter; Pears; Caster Sugar; Brandy; Cardamom; Puff Pastry,"Core the pears, then peel as neatly as possible and halve.
 If you like, they can be prepared up to a day ahead and kept in the fridge, uncovered, so that they dry out.

Tip the sugar, butter, star anise, cardamom and cinnamon into an ovenproof frying pan, about 20cm wide, and place over a high heat until bubbling.
 Shake the pan and stir the buttery sauce until it separates and the sugar caramelises to a toffee colour.

Lay the pears in the pan, then cook in the sauce for 10-12 mins, tossing occasionally, until completely caramelised.
 Don’t worry about them burning – they won’t – but you want to caramelise them as much as possible.
 Splash in the brandy and let it flambé, then set the pears aside.

Heat oven to 200C/fan 180C/gas 6.
 Roll the pastry out to the thickness of a £1 coin.
 Using a plate slightly larger than the top of the pan, cut out a circle, then press the edges of the circle of pastry to thin them out.

When the pears have cooled slightly, arrange them in the pan, cut side up, in a floral shape, with the pears around the edge pointing inwards.
 Rest the cinnamon stick on the top in the centre, with the cardamom pods scattered around.

Drape the pastry over the pears, then tuck the edges down the pan sides and under the fruit (see Gordon’s guide).
 Pierce the pastry a few times, then bake for 15 mins.
 If a lot of juice bubbles up the side of the pan, pour it off at this stage (see guide).
 Reduce oven to 180C/fan 160C/gas 4 and bake for 15 mins more until the pastry is golden.
 Leave the tart to stand for 10 mins, then invert it carefully onto a serving dish.
",https://www.bbcgoodfood.com/recipes/4778/pear-tarte-tatin
Torrijas with sherry,Double Cream; Olive Oil; Sweet Sherry; Golden Caster Sugar; Creme Fraiche; Milk; Bread; Icing Sugar; Egg,"step 1
In a wide, shallow bowl, beat the eggs with the cream, milk, golden caster sugar and sherry. Cut each slice of bread in two and dip them into the egg mix, turning to make sure they get a good coating on either side. Soak bread in egg mixture for 10 mins to absorb the liquid (carefully turn them over from time to time and make sure they don’t get too soggy).

step 2
Heat 1½ tbsp olive oil in a large frying pan and cook the bread for about 3 mins on each side until dark golden and crisp on the edge. Keep the slices warm in a low oven as you cook the rest.

step 3
Divide the torrijas between plates and dust with the icing sugar. Serve with crème fraîche or Greek yogurt on the side.",https://www.bbcgoodfood.com/recipes/torrijas-sherry
Braised Beef Chilli Homemade,Ancho Chillies; Tomato Ketchup; Balsamic Vinegar; Chorizo; Dark Brown Sugar; Cumin; Cloves; Onions; Oregano; Beef; Cinnamon stick; Olive oil; Garlic; Borlotti Beans; Bay Leaves; Allspice; Plum Tomatoes,"Preheat the oven to 120C/225F/gas mark 1.

Take the meat out of the fridge to de-chill. Pulse the onions and garlic in a food processor until finely chopped. Heat 2 tbsp olive oil in a large casserole and sear the meat on all sides until golden.

Set to one side and add another small slug of oil to brown the chorizo. Remove and add the onion and garlic, spices, herbs and chillies then cook until soft in the chorizo oil. Season with salt and pepper and add the vinegar, tomatoes, ketchup and sugar.

Put all the meat back into the pot with 400ml water (or red wine if you prefer), bring up to a simmer and cook, covered, in the low oven.

After 2 hours, check the meat and add the beans. Cook for a further hour and just before serving, pull the meat apart with a pair of forks.",http://www.telegraph.co.uk/food-and-drink/recipes/braised-beef-chilli-con-carne/
Easy Rocky Road Fudge,Vanilla Extract; Chocolate Chips; Miniature Marshmallows; Peanuts; Peanut Butter,"Line an 8-inch-square baking pan with wax paper or foil, and coat with non-stick spray.

Pour ½ cup of the miniature marshmallows into the bottom of the lined baking dish.

In a microwave-safe bowl, combine the chocolate chips and peanut butter.
 Microwave the chocolate mixture in 20-second intervals, stirring in between each interval, until the chocolate is melted.

Add the vanilla extract and stir well, until smooth.

Reserve 2 tablespoons of the chopped almonds or peanuts, and set aside.

Fold 1 ½ cups of the miniature marshmallows and the remaining chopped nuts into the chocolate mixture.

Transfer the chocolate mixture into the prepared pan and spread into an even layer.
 Immediately top with the reserved chopped nuts and the mallow bits or additional miniature marshmallows, if using.

Refrigerate for 4 hours, or until set.

Remove the fudge and wax paper from the pan.
 Carefully peel all of wax paper from the fudge.

Cut the fudge into bite-sized pieces and serve.
",http://tiphero.com/rocky-road-fudge/
Easy No-Churn Rum Raisin Ice Cream,Condensed Milk; Dark Rum; Salt; Vanilla Extract; Ground Cinnamon; Raisins; Heavy Cream; Allspice; Brown Sugar,"Heat the rum in a small saucepan over medium heat until warm (do not boil).
 Remove from heat and stir in the raisins and vanilla extract.
 Let the mixture sit for at least 30 minutes.
 After soaking, drain off the extra rum, but keep ¼ cup of the rum and reserve it to mix into your ice cream base.

In a large bowl, whisk together the sweetened condensed milk, dark brown sugar, cinnamon, allspice, salt, and reserved rum (¼ cup).
 Stir until the brown sugar is fully dissolved.

In a separate bowl, whip the cold heavy cream with an electric mixer until stiff peaks form.

Gently fold the whipped cream into the condensed milk mixture until fully combined, being careful not to deflate the cream.
 Fold in the drained rum-soaked raisins to distribute them evenly.

Pour the mixture into a loaf pan or freezer-safe container.
 Smooth the top and cover with plastic wrap or an airtight lid.
 Freeze for at least 6 hours, or until firm.

Let the ice cream sit at room temperature for 5–10 minutes before scooping for the best texture.
",https://www.myforkinglife.com/rum-raisin-ice-cream/#recipe
Vietnamese Grilled Pork (bun-thit-nuong) Recipe,Mint; Pork; Pepper; Rice Vermicelli; Cucumber; Challots; Sugar; Peanuts; Olive Oil; Fish Sauce; Garlic; Egg Rolls; Soy sauce,"Slice the uncooked pork thinly, about ⅛"".
 It helps to slightly freeze it (optional).

Mince garlic and shallots.
 Mix in a bowl with sugar, fish sauce, thick soy sauce, pepper, and oil until sugar dissolves.

Marinate the meat for 1 hour, or overnight for better results.

Bake the pork at 375F for 10-15 minutes or until about 80% cooked.
 Finish cooking by broiling in the oven until a nice golden brown color develops, flipping the pieces midway.

Assemble your bowl with veggies, noodles, and garnish.
 Many like to mix the whole bowl up and pour the fish sauce on top, but I like to make individual bites and sauce it slowly.
",http://www.hungryhuy.com/bun-thit-nuong-recipe-vietnamese-grilled-bbq-pork-with-rice-vermicelli-vegetables/
Easy Kenyan Beef Curry,Oil; Chilli; Curry Powder; Ground Ginger; Black Pepper; Paprika; Tomato Puree; Garlic Clove; Sirloin Steak tips; Water; Cilantro; Salt; Red Onions; Tomato,"Bring the 4 cups of water to a boil in a Dutch oven or soup pot.
 Add the beef, garlic, and ginger, and stir well.
 Bring to a gentle simmer, cover, and cook, stirring occasionally, for 20 minutes.
 If you get any foamy scum on the top, not to worry, simply spoon it away or stir it back in.

Remove from the heat, and drain, but reserve the excess water for later.

Return the pot or Dutch oven to medium heat with the 2 tablespoons of cooking oil.
 Once the oil is shimmering, add the onions and cook, stirring occasionally, until softened, 5 to 7 minutes.

Add the tomatoes to the onions, and continue cooking, stirring occasionally, until the tomatoes are falling apart, 3 to 5 minutes.

Add the drained beef to the tomato and onion mixture, and stir well.
 Continue cooking over medium heat for 5 minutes, stirring occasionally.

Add the paprika, pepper, curry powder, tomato paste, and salt to taste, and stir well.

Add back the excess water that was used for cooking the beef, along with enough extra water to cover.
 Bring to a boil, reduce heat, and simmer, uncovered, stirring occasionally, for about 1 hour, or until the meat is tender and the sauce is thickened.
 Add additional water if your beef curry begins to dry and stick, or if would like your curry to have more of a soupy consistency.

When the beef curry is ready, remove from the heat, give it a taste, and adjust the seasonings as desired.
 Garnish with fresh chilis and cilantro.
",https://tasteoftheplace.com/kenyan-beef-curry/
Easy Rock Cakes,Baking Powder; Butter; Vanilla Extract; Eggs; Dried Fruit; Milk; Caster Sugar; Self-raising Flour,"Preheat oven to 180C/350F/Gas 4 and line a baking tray with baking parchment.
Mix the flour, sugar and baking powder in a bowl and rub in the cubed butter until the mixture looks like breadcrumbs, then mix in the dried fruit.
In a clean bowl, beat the egg and milk together with the vanilla extract.
Add the egg mixture to the dry ingredients and stir with a spoon until the mixture just comes together as a thick, lumpy dough. Add a teaspoon more milk if you really need it to make the mixture stick together.
Place golfball-sized spoons of the mixture onto the prepared baking tray. Leave space between them as they will flatten and spread out to double their size during baking.
Bake for 15-20 minutes, until golden-brown. Remove from the oven, allow to cool for a couple of minutes then turn them out onto a wire rack to cool.",https://www.bbc.co.uk/food/recipes/rock_cakes_03094
